Name,Moelcular Formula,Dipole,Ref
Hydrazine,H4N2,1.75 ± 0.09,1
Hydrazoic acid,HN3,1.70 ± 0.09,3
Hydrogen bromide,BrH,0.8272 ± 0.0003,3
Hydrogen chloride,ClH,1.1086 ± 0.0003,3
Hydrogen fluoride,FH,1.826178,2
Hydrogen iodide,HI,0.448 ± 0.001,2
Hydrogen peroxide,H2O2,1.573 ± 0.001,65
Hydrogen sulfide,H2S,0.97833,5
Hydroxyl,HO,1.655 ± 0.001,5
Hydroxylamine,H3NO,0.59 ± 0.05,2
Hypochlorous acid,ClHO,≈1.3,2
Hypofluorous acid,FHO,2.23 ± 0.11,3
Imidogen,HN,1.39 ± 0.07,3
Indium(I) chloride,ClIn,3.79 ± 0.19,2
Indium(I) fluoride,FIn,3.40 ± 0.07,2
Iodine bromide,BrI,0.726 ± 0.003,5
Iodine chloride,ClI,1.24 ± 0.02,2
Iodine fluoride,FI,1.948 ± 0.020,3
Iodine monoxide,IO,2.45 ± 0.05,2
Iodine pentafluoride,F5I,2.18 ± 0.11,1
Lanthanum monoxide,LaO,3.207 ± 0.011,26
Lead(II) oxide,OPb,4.64 ± 0.50,2
Lead(II) sulfide,PbS,3.59 ± 0.18,2
Lithium bromide,BrLi,7.268 ± 0.001,2
Lithium chloride,ClLi,7.12887,2
Lithium fluoride,FLi,6.3274 ± 0.0002,3
Lithium fluoride–sodium,FLi•FNa,2.62 ± 0.02,51
fluoride complex,,,
Lithium hydride,HLi,5.884 ± 0.001,2
Lithium hydroxide,HLiO,4.754 ± 0.002,3
Lithium iodide,ILi,7.428 ± 0.001,2
Lithium monoxide,LiO,6.84 ± 0.03,2
Lithium potassium,KLi,3.45 ± 0.20,2
Lithium rubidium,LiRb,4.0 ± 0.1,2
Lithium sodium,LiNa,0.463 ± 0.002,2
Magnesium oxide,MgO,6.2 ± 0.6,5
Mercapto,HS,0.7580 ± 0.0001,3
Nitric acid,HNO3,2.17 ± 0.02,1
Nitric oxide,NO,0.15872,2
Nitrogen dioxide,NO2,0.316 ± 0.010,1
Nitrogen sulfide,NS,1.81 ± 0.02,2
Nitrogen trichloride,Cl3N,0.39 ± 0.01,3
Nitrogen trifluoride,F3N,0.235 ± 0.004,1
Nitrogen trioxide,N2O3,2.122 ± 0.010,2
Nitrosyl bromide,BrNO,≈1.8,1
Nitrosyl fluoride,FNO,1.730 ± 0.003,3
Nitrosyl hydride,HNO,1.62 ± 0.03,3
Nitrous acid (cis),HNO2,1.423 ± 0.005,2
Nitrous acid (trans),HNO2,1.855 ± 0.016,2
Nitrous oxide,N2O,0.16083,3
Nitryl chloride,ClNO2,0.53,1
Nitryl fluoride,FNO2,0.466 ± 0.005,2
Ozone,O3,0.53373,3
Pentaborane(9),B5H9,2.13 ± 0.04,1
Perchloryl fluoride,ClFO3,0.023 ± 0.001,3
Peroxynitrous acid,HNO3,1.07 ± 0.002,46
Aluminum monofluoride,AlF,1.53 ± 0.15,1
Ammonia,H3N,1.4718 ± 0.0002,5
