smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
CCCCCO,True,4.432481969088606,3.214762413083357,230.52973828758846,1.2745678424835205,2057.46044494591,0.01,18.212566299170838,0.017699286976842407,0.5,0.19161480059563749,0.050628602415442724,3.4737932760460004,0,55.39722034287704,0,136
CCCC(C)O,True,3.6828600274608787,3.42633693398078,231.0909818808671,0.9385574460029602,2244.9683873031177,0.01,3.7139739681526374,0.005406075645054785,0.5,0.2234054903933971,0.0738415621712034,4.1534909767232415,0,63.82020312742907,0,667
CCC(O)CC,True,3.78258329954149,3.3769644392696145,227.32524022138415,0.5385069847106934,2190.4568104798673,0.01,2.356924389446017,0.010337387673008847,0.5,0.6320275433218044,0.2003663823231053,11.79187362077165,0,168.8076986602609,0,668
CCCCC(C)O,True,3.697979032055155,3.601139974051259,239.91435858260735,1.1258175373077393,2361.0559247632573,0.01,3.011119545210355,0.015131253996031935,0.5,1.0580971196399107,0.3642749913049139,20.425075512573745,0,303.3419817297166,0,693
CCCCCCCO,True,3.997908737054559,3.6746998565518076,258.3830328897988,1.3745200634002686,2288.2205859176497,0.01,10.035303446512499,0.017920184725915177,0.5,0.2741724963684745,0.09018899881858909,6.13979457579346,0,84.28362676181193,0,343
CCCCCC(C)O,True,2.535364757063576,4.307050096766677,288.65178513971733,0.9732873439788818,2585.2486055864197,0.01,3.3261382249021865,0.026397922419858624,0.5,0.3714648932467633,0.21679794511985,10.234925056095197,0,170.20975263445132,0,1907
CCCCC(O)CC,True,4.27231130411459,3.5829151516355475,241.04578620138224,0.9595478773117065,2054.953353626416,0.01,1.2019882383803666,0.015024852979754583,0.5,1.9431515962523822,0.5996376320802671,41.194801818343535,0,485.4643399659189,0,1906
CCCCCCC(C)O,True,4.1431703340630825,3.771859952407354,255.01230871151859,1.3996473550796509,2211.8261880076802,0.01,1.916046170486704,0.01451550129156594,0.5,0.28936020302022103,0.09465234596439988,6.392580660805063,0,88.80167947699873,0,936
CC(C)=O,False,2.8012147947143733,3.232646078177786,252.4606543422299,0.7372247576713562,0.0,0.0,17.936139902377313,0.008389214173235413,0.5,0.004238789900137912,0.0016254694217155091,0.22873555848415092,0,0.0,0,4
CCCC(=O)O,True,2.1013537502730455,3.988462276625237,314.30110527281073,1.5637116432189941,2879.2315283819034,0.01,8.205581737781426,0.015511496668773961,0.5,0.07355261993130471,0.045975469870161885,1.4941009107143062,0,67.85967444410724,0,235
Cc1ccccc1[N+](=O)[O-],False,3.763904737770828,3.5465986623756502,314.87249524422896,2.424774408340454,0.0,0.0,4.578103601696039,0.017275862647909583,0.5,0.05599674740753702,0.017854088324715654,2.6278659600959315,0,0.0,0,489
