Unnamed: 0.1,Unnamed: 0,Name,smiles,Valid,sigma,m,epsilon_k,mu,Assoc_scheme,KAB,epsilonAB
719,719,2-Ethyl-dihydropyran_Xisomer_not_specifiedY,CCc1ccco1,True,3.606024929553117,2.929513690624227,271.65295837867075,0.5735821562775467,2B,0.0,0.0
12,12,Nitrogen,N#N,True,2.7608337837022865,1.416630947125916,208.2490901415495,0.0,2B,0.0,0.0
14,14,Hydrogen_cyanide,C#N,True,3.254299569366596,1.4982559589968476,193.11678737421693,3.0383,2B,0.3027419697732321,2227.649060868726
18,18,Carbon_monoxide,[C-]#[O+],True,2.794452629117421,1.4596338197784615,189.23211905164632,0.3001,2B,0.0,0.0
19,19,Hydroxylamine,NO,True,2.8389811728096745,1.7517613702530703,256.5805796164792,0.6163029368743913,2B,0.3450154359331716,3476.919133655917
21,21,Hydrazine,NN,True,2.9698522923859105,1.7899399917186742,273.65376440184536,0.0,2B,0.260822209482658,2612.307424162853
22,22,Formaldehyde,C=O,True,3.0035920230195003,1.724686921829992,211.1303261693582,2.3363,2B,0.0,0.0
728,728,XEY-Glutaconic_dinitrile,N#C/C=C/CC#N,True,3.499690658112128,3.3173565358481607,292.3451712307782,3.94462336478402,,,
24,24,Methanol,CO,True,3.045343437996755,1.868525516616809,196.20335616113564,1.6908123550530378,2B,0.5887706605020717,2496.3416090577307
26,26,Hydrogen_peroxide,OO,True,2.5959532519952995,1.7087404900006118,357.1896901465677,0.0,2B,0.8071390293354673,2434.357664654625
1586,1586,1-tert-Butoxy-2-propanol,CC(O)COC(C)(C)C,True,3.864495072704005,3.617098925383555,286.7742933194671,2.61882117946224,2B,0.0,0.0
740,740,3-Hexanol,CCCC(O)CC,True,3.674845880422248,3.508171461500321,233.67200392448595,1.5124891206220294,2B,0.3032185891957882,2634.880138368787
1590,1590,D-2-Octanol,CCCCCCC(C)O,True,3.85733551257693,3.890175256987634,259.2754471821579,1.6756798918647915,2B,0.0,0.0
41,41,Ketene,C=C=O,True,3.104214417607462,1.964874365468373,231.3835180452098,1223.0,2B,0.0,0.0
45,45,Dinitrogen_monoxide,[N-]=[N+]=O,True,2.70071540867632,1.830703365380672,385.94316521756514,0.0282,2B,0.0,0.0
52,52,Ozone,O=[O+][O-],True,2.6453485564332,1.8370118817972505,253.1313973130036,0.4936,2B,0.0,0.0
1623,1623,X+Y-Octan-4-ol,CCCCC(O)CCC,True,3.7861454093558864,4.10776841510476,246.6002127226484,1.5947723003614027,2B,0.3578740738734683,2716.680673261526
57,57,Isocyanic_acid,N=C=O,True,3.0039383995990354,1.884940323070214,280.2448252385012,2.1247712182726874,2B,0.6940064268750901,1963.382259278115
58,58,Carbon_dioxide,O=C=O,True,2.636562728254096,1.844443318993893,376.2872194313072,0.0,2B,0.0,0.0
765,765,3-Methyl-2-pentanone,CCC(C)C(C)=O,True,3.756959469946385,3.193410893284286,264.18644219550083,2.6429824781863385,2B,0.0,0.0
768,768,4-Methyl-2-pentanol,CC(C)CC(C)O,True,3.753916656733516,3.284483090779405,242.4788891491369,1.4771883190710655,2B,0.3388012999157807,2751.7770539765625
774,774,Hex-5-en-2-ol,C=CCCC(C)O,True,3.65452579496696,3.42907426983239,235.5147205578824,1.5493793660688784,2B,0.2764250766733273,2735.8341214674538
775,775,.delta.-Valerolactam,O=C1CCCCN1,True,3.7855784953712375,2.7050908570429675,381.7508891345701,4.285447283539957,,,
75,75,Nitric_acid,O=[N+]([O-])O,True,2.935093597354022,2.122159527565453,346.8403857472656,2.095526668883028,,,
87,87,Monomethylammonium_cyanide,C[NH3+].[C-]#N,True,3.4225481172417225,3.07385147892579,365.1814229355124,6.475939429148485,,,
810,810,Methyl_lactate,COC(=O)C(C)O,True,3.4887011008141133,3.17079334967607,305.7352263235832,3.020186322066902,2B,0.4410954815283009,1721.8934863997629
812,812,Propylurea,CCCNC(N)=O,True,3.5658830206464973,3.4030574267836604,324.1586400758483,3.76142552232528,,,
1687,1687,X+Y-2-Methylheptan-4-ol,CCCC(O)CC(C)C,True,3.797723743368155,4.050045207173207,246.14465453691648,1.3435461063915894,2B,0.0,0.0
98,98,Nitric_acid_-_D,O=[N+]([O-])O,True,2.9357047664902134,2.121250987324965,346.7401278528088,2.0954251358614555,,,
101,101,Cyanogen,N#CC#N,True,3.064127393626163,2.14887719416154,243.1361433568712,0.0,2B,0.0,0.0
106,106,Urea,NC(N)=O,True,3.345654607486223,2.222119315959067,389.6656806325285,4.2525,,,
820,820,X+Y-Hex-5-en-2-ol,C=CCCC(C)O,True,3.6610143624565032,3.413409785804101,235.8863799506965,1.5676378185027309,2B,0.2542135313285062,2783.7758217247706
825,825,X+Y-4-Methylpentan-2-ol,CC(C)CC(C)O,True,3.753881362556318,3.284503248705504,242.4903591560497,1.4771119558110686,2B,0.3388012999157807,2751.7770539765625
111,111,Polyethylene_glycol_600,OCCO,True,3.254318130056161,2.476994539774317,253.6577476121357,2.1403952578904675,2B,0.3654737095927198,2765.285947158736
827,827,XRY-X+Y-Methyl_lactate,COC(=O)C(C)O,True,3.488712252515374,3.170749543268575,305.7262077036984,3.02000181622462,2B,0.444663060965373,1719.8079229483687
114,114,Polyethylene_glycol_300,OCCO,True,3.254318130056161,2.476994539774317,253.6577476121357,2.1403952578904675,2B,0.3654737095927198,2765.285947158736
1711,1711,X+Y-5-Methylheptan-3-ol,CCC(C)CC(O)CC,True,3.8812190897844494,3.812637797570962,255.87686510138403,1.791019812844068,2B,0.0,0.0
118,118,Polyethylene_glycol_200,OCCO,True,3.254313921842229,2.477003559625328,253.6582078661797,2.1403952578904675,2B,0.3654737095927198,2765.285947158736
121,121,Glyoxal,O=CC=O,True,2.976244687480878,2.303257178461973,283.6995841157825,0.0005,2B,0.0321962202365363,1252.501538857396
1719,1719,Methyl_3-allylpropionate,C=CCCCC(=O)OC,True,3.676995800947777,3.77702964084206,263.35009871785144,1.4127438161252024,2B,0.0,0.0
1740,1740,5-Oxohexanoic_acid,CC(=O)CCCC(=O)O,True,3.7873570377455263,3.423124115331139,496.6873528226396,6.6203669090164485,2B,0.6294852756363752,2719.8061258372472
1748,1748,2-Octanol,CCCCCCC(C)O,True,3.696849409206289,4.428768769518077,237.41696795151,1.6107109175764596,2B,0.0,0.0
860,860,Isopropylurea,CC(C)NC(N)=O,True,3.629454241392875,3.2100985983748034,322.45827220170304,3.5124219194168576,,,
1754,1754,Monoacetin,CC(=O)OCC(O)CO,True,3.5871722199090983,3.6516557414980335,348.2487452402585,3.904201877464842,2B,0.0,0.0
150,150,Methylurea,CNC(N)=O,True,3.469948157768385,2.568631600373701,373.0847151438738,4.254134763967874,,,
1759,1759,N-Cyclopropylmethylimidazole,c1cn(CC2CC2)cn1,True,3.844595744422952,3.2900912591117004,380.560562621523,4.476457127014621,,,
1761,1761,L-2-Octanol,CCCCCCC(C)O,True,3.786030056601093,4.117000495183115,249.2424167785016,1.6188435193062978,2B,0.0,0.0
871,871,X+Y-3-Methylpentan-1-ol,CCC(C)CCO,True,3.769599930210517,3.2676347209982204,249.0549378271298,1.9137125698495057,2B,0.444514300571672,2760.578805105736
1762,1762,4-Octanol,CCCCC(O)CCC,True,3.81764707953418,4.01296045712568,252.1561190017184,1.744215777935746,2B,0.0,0.0
1777,1777,1-Octen-3-ol,C=CC(O)CCCCC,True,3.7357962775118825,4.146680006941293,241.84447142578887,1.694310538242621,2B,0.0,0.0
166,166,Amitone,NCC(=O)O,True,3.462181873060543,2.473631567101396,437.1453966383335,5.432743231554387,,,
170,170,tert-Butylamine,CC(C)(C)N,True,3.741291363855999,2.550692722195022,231.0314527489102,1.2180434557108375,,,
899,899,1-Hydroxy-3-methyl-2-penten-4-yne,C#CC(C)=CCO,True,3.600913921926622,3.2406014679168926,248.97077901797624,1.7449381794206924,,,
1795,1795,5-Methyl-1-heptanol,CCC(C)CCCCO,True,3.886150127310867,3.8056169544193192,262.4463032913226,1.8765321633268108,2B,0.0,0.0
184,184,Crotonaldehyde,C/C=C/C=O,True,3.488579092173951,2.791636793639704,311.3866557836219,3.8841908887180097,2B,0.0,0.0
1799,1799,1-Phenylethanamine,CC(N)c1ccccc1,True,3.911232883699717,3.1291611575773244,289.57398621969423,1.2515546252561252,2B,0.0,0.0
