smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
O,h2o,0.0,64.0,2.977387,135.0,15.0
O=[N+]([O-])c1ccc(Cl)cc1,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Nc1ccc([N+](=O)[O-])cc1,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
O=[N+]([O-])c1ccc(O)cc1,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
CN(C)c1ccc(C=O)cc1,4-(dimethylamino)-benzaldehyde,0.0,69.4,43.5,92.0,117.0
CCc1ccc([N+](=O)[O-])cc1,4-ethylnitrobenzene,0.0,49.3,13.4,36.3,22.6
CNc1ccc([N+](=O)[O-])cc1,p-nitro-n-methylaniline,0.0,85.4,12.4,111.0,17.8
COc1ccc([N+](=O)[O-])cc1,p-nitroanisole,0.0,64.6,17.3,53.3,32.3
CC(C)c1ccc(C(C)C)cc1,"1,4-bis(1-methylethyl)-benzene",0.0,27.9,1.833772,7.389358,1.320689
CC(=O)c1ccc([N+](=O)[O-])cc1,p-nitroacetophenone,0.0,74.3,23.8,68.5,46.4
O=C(Cl)c1ccc(C(=O)Cl)cc1,terephthaloylchloride,0.0,46.5,-0.480836,25.5,-1.166169
CN(C)c1ccc([N+](=O)[O-])cc1,"n,n-dimethyl-4-nitrobenzeneamine",0.0,75.6,34.4,78.4,74.2
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,"1,4-dinitrobenzene",0.0,71.1,3.478984,53.0,4.028503
O=C=Nc1ccc([N+](=O)[O-])cc1,1-isocyanato-4-nitrobenzene,0.0,60.3,7.831009,43.9,13.6
C=CC1CC=CCC1,4-vinylcyclohexene,0.0,24.6,5.62441,9.583332,5.002747
CCc1ccccc1,ethylbenzene,0.0,24.3,0.443754,7.058933,0.224876
C=Cc1ccccc1,styrene,0.0,30.3,-2.651255,10.2,-1.822904
C=Cc1ccncc1,4-vinylpyridine,0.0,48.9,26.7,73.4,104.0
ClCc1ccccc1,(chloromethyl)-benzene,0.0,40.2,-3.087381,17.4,-2.704899
N#Cc1ccccc1,benzonitrile,0.0,47.3,12.6,40.7,26.1
N#Cc1ccncc1,4-pyridinecarbonitrile,0.0,62.0,25.7,73.8,68.5
O=Cc1ccccc1,benzaldehyde,0.0,48.3,20.6,49.5,47.5
SCc1ccccc1,benzenemethanethiol,0.0,44.8,2.443547,24.8,5.393928
N#Cc1cccnc1,3-cyanopyridine,0.0,63.5,25.9,73.9,65.7
CNC1CCCCC1,n-methylcyclohexanamine,0.0,34.8,36.4,88.7,171.0
CNc1ccccc1,n-methylaniline,0.0,44.8,-3.623776,32.5,-12.1
ON=C1CCCCC1,cyclohexanoneoxime,0.0,57.6,13.0,94.1,15.9
N#CC12CCC(CC1)C2,1-norbornylisocyanide,0.0,43.2,28.4,43.1,48.0
CC(C#N)(C#N)C#N,"1,1,1-ethanetricarbonitrile",0.0,70.5,-5.305871,57.7,-10.7
CC(=O)Nc1ccc([N+](=O)[O-])cc1,4-nitroacetanilide,0.0,102.0,8.995223,143.0,-12.5
O=C=Nc1ccc(Cl)cc1,1-chloro-4-isocyanatobenzene,0.0,35.9,-5.505637,16.7,-5.251147
CCCc1ccc(OC)cc1,1-methoxy-4-propylbenzene,0.0,39.0,7.806819,20.5,12.5
CCCCc1ccccc1,butylbenzene,0.0,26.1,0.718761,7.132747,0.327931
O=CCCc1ccccc1,benzenepropanal,0.0,59.1,22.2,50.0,46.3
O=CC=Cc1ccccc1,3-phenyl-2-propenal,0.0,64.2,30.1,78.0,82.8
c1ccc2c(c1)Cc1ccc3ccccc3c1-2,7h-benzo(c)fluorene,0.0,46.4,-6.341611,15.5,-5.029763
c1ccc2c(c1)ccc1sc3ccccc3c12,"benzo(b)naphtho(1,2-d)thiophene",0.0,44.5,-11.1,16.5,-8.865969
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,perchlorobiphenyl,0.0,27.8,-2.915079,4.421299,-1.120416
Clc1ccccc1-c1ccccc1,2-chlorobiphenyl,0.0,38.3,-6.37697,12.7,-4.529022
c1ccc2c(c1)cc(-c1cc3ccccc3c3ccccc13)c1ccccc12,"9,9'-biphenanthrene",0.0,66.6,-13.8,22.6,-10.2
S=C1NCCCN1,"n,n'-trimethylenethiourea",0.0,101.0,36.9,157.0,82.2
CN1C(=O)C(=O)c2ccccc21,"n-methylindol-2,3-dione",0.0,79.6,39.7,88.7,85.9
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,0.0,41.3,-7.578367,13.0,-5.007626
Cc1nc(C)c(C)o1,trimethyloxazole,0.0,48.0,37.3,77.0,119.0
c1ccc2cc3c(cc2c1)Cc1c-3ccc2ccccc12,"1,2,5,6-dibenzofluorene",0.0,54.1,-7.928814,16.7,-5.295914
Nc1ccnnc1,4-pyridazinamine,0.0,104.0,32.6,219.0,152.0
Brc1cn[nH]c1,4-bromopyrazole,0.0,66.3,-19.7,118.0,-55.8
O=[N+]([O-])c1cn[nH]c1,4-nitropyrazole,0.0,96.2,-26.3,168.0,-125.0
C1=Cc2cccc3cccc1c23,acenaphthylene,0.0,34.9,-5.580107,11.5,-3.822992
O=C1SCCS1,"1,3-dithiolan-2-one",0.0,46.5,8.681026,35.9,17.5
O=C1CC=CO1,3h-furan-2-one,0.0,56.9,16.8,57.1,35.4
CN(C)[Si](C)(C)C,pentamethylsilanamine,0.0,23.6,12.8,24.9,37.4
O=C1CC=CS1,2(3h)-thiophenone,0.0,46.7,9.993976,40.9,22.0
C=CCCC=O,4-pentenal,0.0,50.4,24.9,48.6,49.4
C#CC(C)Cl,3-chloro-1-butyne,0.0,40.3,-10.2,27.8,-18.9
ClC1(Cl)CCCCC1,"1,1-dichlorocyclohexane",0.0,26.1,2.292177,7.950173,1.173711
C=C(C)C1CC=C(C=O)CC1,perillaldehyde,0.0,57.7,36.9,65.9,79.7
C=CCC1CCCCC1,allylcyclohexane,0.0,16.6,2.564554,4.819947,2.121939
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,"1,2-7,8-dibenzophenanthrene",0.0,56.1,-14.3,21.3,-11.6
Cc1ccc(C)c2c(C)cccc12,"1,4,5-trimethylnaphthalene",0.0,33.4,-0.835005,9.419778,-0.478358
CC1CCC(C)O1,"2,5-dimethyltetrahydrofuran",0.0,32.1,29.8,51.0,77.3
CCCC=CCl,1-chloro-1-pentene,0.0,22.1,-1.685639,7.476321,-2.026344
CC=C1CCCC1,ethylidenecyclopentane,0.0,14.7,2.990844,4.761487,2.754796
CCC1=CCCC1,1-ethylcyclopentene,0.0,13.6,2.501986,4.184079,2.352851
CC1OC1C,"trans-2,3-dimethyloxirane",0.0,36.3,27.0,45.9,57.8
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,"1,2,3,4-dibenzanthracene",0.0,56.1,-14.4,21.7,-12.1
c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,"dibenz(a,c)acridine",0.0,59.3,-4.941575,33.6,4.838346
CC1CCO1,"1,3-butyleneoxide",0.0,35.4,35.1,60.6,91.8
c1ccc2c(c1)c1ccccc1c1ccccc21,triphenylene,0.0,48.2,-11.9,18.8,-10.2
C=C1CC(=O)OC1=O,itaconicanhydride,0.0,74.1,12.2,67.8,21.8
C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,"6,6-diphenylfulvene",0.0,52.6,-2.701566,19.8,-0.85132
CC1=Cc2ccccc2C1,2-methyl-1h-indene,0.0,31.8,1.06931,10.2,0.673563
Cc1ccc(C#N)c(C)c1,"2,4-dimethylbenzonitrile",0.0,48.4,19.2,42.0,36.2
CCCSSC,methyl-propyl-disulfide,0.0,31.4,4.912494,14.7,5.702759
