smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
O,h2o,0.0,64.0,2.977387,135.0,15.0
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Clc1ccc(cc1)N(=O)=O,1-chloro-4-nitrobenzene,0.0,50.1,3.995084,37.6,8.545656
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Nc1ccc(cc1)N(=O)=O,4-aminonitrobenzene,0.0,95.0,-11.2,140.0,-40.6
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
Oc1ccc(cc1)N(=O)=O,4-nitrophenol,0.0,85.0,-25.8,140.0,-133.0
CN(C)c1ccc(C=O)cc1,4-(dimethylamino)-benzaldehyde,0.0,69.4,43.5,92.0,117.0
CN(C)c1ccc(C=O)cc1,4-(dimethylamino)-benzaldehyde,0.0,69.4,43.5,92.0,117.0
